FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),Salary(Integer),Rate(Double),SingleExemp(String),MarriedExemp(String),ChildExemp(String)
Yoshiji,Lenders,F,870,1000033,PRIM,AR,72130,M,N,46500,7.0,0,40,0
Athushi,Thiran,M,772,1000005,FORT PIERCE,FL,34947,S,Y,90500,0.0,0,0,0
JoAnn,Bert,M,503,1000037,WALLOWA,OR,97885,M,N,22500,9.0,0,318,0
Mansour,Palmore,F,907,1000095,OLD HARBOR,AK,99643,M,N,66500,0.0,0,0,0
Alfio,Scopinich,F,907,1000096,ANCHORAGE,AK,99524,S,Y,34500,0.0,0,0,0
Hiroyuke,Wickline,M,202,1000111,WASHINGTON,DC,20057,S,Y,78500,9.0,1370,0,1370
Hendra,Tzitzikas,M,202,1000112,WASHINGTON,DC,20532,M,Y,30000,9.0,0,2740,1370
Kava,Desal,F,828,1000010,STONY POINT,NC,28678,M,Y,14500,6.036713,0,6600,3300
Jianjun,Boigelot,F,563,1000018,CLEARFIELD,IA,50840,S,Y,44500,7.033912,40,0,40
Bin,Shahrbabaki,M,563,1000019,IONIA,IA,50645,M,N,62000,8.98,0,80,0
Bagirath,Pries,M,731,1000024,MANCHESTER,TN,37349,M,N,25500,0.0,0,0,0
Brynjulf,Kamm,F,308,1000050,OGALLALA,NE,69153,S,Y,37500,6.84,103,0,103
Wendelin,Tanishita,M,317,1000016,MARYSVILLE,IN,47141,M,N,97000,3.4,0,2000,0
Prince,Ruhle,M,304,1000092,INDEPENDENCE,WV,26374,S,Y,26500,4.155,2000,0,2000
Stergios,Starr,F,870,1000034,FORT SMITH,AR,72919,S,Y,61000,7.0,20,0,20
Hamideh,Kayser,F,978,1000013,SPRINGFIELD,MA,1103,S,Y,20000,5.3,3575,0,1000
Mallory,Plump,M,952,1000019,BEAVER BAY,MN,55601,S,Y,46000,6.710192,3300,0,3300
Raquel,Damm,M,301,1000017,ACCOKEEK,MD,20607,S,Y,40000,4.75,2400,0,2400
Edyta,Stroud,M,573,1000012,HARTVILLE,MO,65667,S,Y,100000,6.0,2100,0,1200
Xiaoyong,Rimmer,M,907,1000097,CHIGNIK,AK,99564,S,Y,27500,0.0,0,0,0
Bernold,Pien,F,907,1000098,MOOSE PASS,AK,99631,S,Y,29500,0.0,0,0,0
Rei,Kutylowski,M,219,1000015,CAMPBELLSBURG,IN,47108,S,Y,4500,3.4,1000,0,1000
Caroline,Zaroliagis,F,939,1000055,YABUCOA,PR,767,S,Y,56000,0.0,0,0,0
Veronika,Tsotras,F,302,1000136,LITTLE CREEK,DE,19961,S,N,63500,5.95,110,0,0
Annita,Raja,M,304,1000093,HENDERSON,WV,25106,M,N,44500,5.415,0,4000,0
Kouzou,Graw,F,952,1000020,HILLMAN,MN,56338,S,Y,65500,7.7507467,3300,0,3300
Svante,Czap,F,505,1000096,TAIBAN,NM,88134,M,N,57500,5.3,0,6600,0
Atreye,Saxton,M,701,1000090,WALCOTT,ND,58077,S,Y,83000,2.717867,3300,0,3300
Mituhiro,Tomii,M,304,1000094,HUNTINGTON,WV,25712,M,N,30500,4.435,0,4000,0
Torsten,Bergher,F,563,1000020,STOCKTON,IA,52769,S,Y,92500,8.98,40,0,40
Rabin,Derstine,M,754,1000006,BAKER,FL,32531,M,N,18000,0.0,0,0,0
Shukri,Kayssi,M,480,1000019,GLOBE,AZ,85501,S,Y,19000,3.0094998,2100,0,2300
Kukhamay,Kocur,M,803,1000039,GAFFNEY,SC,29340,S,Y,4500,3.3448443,3300,0,3300
Alexei,Cardiff,M,330,1000014,CINCINNATI,OH,45214,M,N,46000,2.07299,0,2600,0
Gerardine,Nicolson,F,907,1000099,MARSHALL,AK,99585,M,N,35000,0.0,0,0,0
Eginhard,Avouris,F,202,1000113,PARCEL RETURN SERVICE,DC,56904,M,N,68000,9.0,0,2740,0
Rattikorn,Sakagami,F,504,1000022,LAWTELL,LA,70550,M,N,86000,6.0,0,9000,0
Guillem,Boksenbaum,M,716,1000005,LAKE GEORGE,NY,12845,S,Y,20000,4.0695124,0,0,1000
Goh,Tawfik,F,225,1000021,NEW ORLEANS,LA,70150,S,N,34000,6.0,4500,0,0
Mona,Aberg,M,775,1000033,RENO,NV,89523,S,Y,54500,0.0,0,0,0
Guoray,Nagata,F,580,1000031,WYNONA,OK,74084,S,Y,85000,6.25,1000,0,1000
Hongguang,Laske,F,321,1000006,JACKSONVILLE,FL,32256,S,Y,67500,0.0,0,0,0
Assia,Dewez,F,302,1000137,REHOBOTH BEACH,DE,19971,M,N,10000,2.540909,0,220,0
Gokhan,Doering,F,603,1000103,HOLDERNESS,NH,3245,S,Y,67000,0.0,0,0,0
Ingbert,Oostrom,M,351,1000009,BRIGHTON,MA,2135,S,Y,48000,5.3,3575,0,1000
Shane,Reeve,F,603,1000104,NEW CASTLE,NH,3854,S,Y,68000,0.0,0,0,0
Zhichen,Durin,M,775,1000034,HENDERSON,NV,89011,M,N,39500,0.0,0,0,0
Melchior,Soderlund,M,316,1000017,AGENDA,KS,66930,M,N,3000,3.5,0,4500,0
Keizo,Peck,M,425,1000022,POINT ROBERTS,WA,98281,S,Y,40500,0.0,0,0,0
Luerbio,Duval,F,302,1000138,WOODSIDE,DE,19980,M,N,66000,5.95,0,220,0
Jaques,Chweh,M,219,1000016,BIPPUS,IN,46713,S,Y,60500,3.4,1000,0,1000
Marke,Bodlaender,M,319,1000017,BURLINGTON,IA,52601,M,N,12000,2.0166295,0,80,0
Luai,Multani,M,435,1000044,DELTA,UT,84624,M,N,17500,7.0,0,4950,0
Yuchen,Estlin,F,337,1000023,PAINCOURTVILLE,LA,70391,S,Y,72500,6.0,4500,0,1000
Shivi,Minio,F,406,1000109,HERON,MT,59844,S,N,84000,6.9,1900,0,0
Loganath,Srivastava,M,971,1000031,WESTLAKE,OR,97493,M,N,51500,9.0,0,318,0
Fadila,Aschim,M,712,1000015,KEYSTONE,IA,52249,S,N,39500,6.262022,40,0,0
Kozo,Stenstrom,F,479,1000029,STRONG,AR,71765,M,N,73000,7.0,0,40,0
Liguo,Lumbreras,M,580,1000032,VERA,OK,74082,S,Y,22000,6.25,1000,0,1000
Hansjorg,Maggini,F,515,1000023,SPRINGBROOK,IA,52075,S,Y,3000,0.6272282,40,0,40
Stabislas,Zdrahal,M,469,1000006,GOLIAD,TX,77963,M,N,40000,0.0,0,0,0
Tarmo,Therrien,F,208,1000095,HOWE,ID,83244,M,N,79000,7.8,0,6600,0
Mehdi,Shyamasundar,M,724,1000011,LAKEWOOD,PA,18439,M,N,21500,3.07,0,0,0
Yimeng,Plump,M,623,1000012,MORRISTOWN,AZ,85342,S,Y,26000,3.1179998,2100,0,2300
Anshu,Clarkson,F,939,1000056,CAROLINA,PR,981,M,N,74000,0.0,0,0,0
Jingzhong,Hollenbeck,F,207,1000104,PENOBSCOT,ME,4476,M,N,74000,8.5,0,5700,0
Amit,Kumaresan,F,608,1000023,STRATFORD,WI,54484,S,N,83000,5.8885403,700,0,0
Ryszard,Koperski,F,205,1000022,NEWTON,AL,36352,M,N,15000,5.0,0,3000,0
Ira,Rela,F,731,1000025,MARYVILLE,TN,37804,M,N,43000,0.0,0,0,0
Carla,Landherr,M,440,1000005,CARBON HILL,OH,43111,S,Y,86500,3.4173822,1300,0,1300
Manual,Postmus,F,304,1000095,RIDGEVIEW,WV,25169,M,N,60500,6.5,0,4000,0
Wagish,Schwartzbauer,F,304,1000096,JACKSONBURG,WV,26377,M,N,77000,6.5,0,4000,0
Friedbert,Grabau,M,702,1000057,MESQUITE,NV,89027,M,N,95500,0.0,0,0,0
Bette,Bozinovic,M,562,1000029,MIRANDA,CA,95553,M,N,25500,5.5281954,0,174,0
Seyed,Constantinescu,F,414,1000017,KIEL,WI,53042,S,Y,69500,5.653976,700,0,400
Gulrukh,Mackay,M,757,1000012,BARHAMSVILLE,VA,23011,S,Y,28500,5.75,900,0,900
Andrea,Carrive,M,913,1000018,MAYFIELD,KS,67103,S,Y,55000,6.45,2250,0,2250
Pratyush,Casciola,F,802,1000094,BARRE,VT,5641,S,Y,54500,4.0894284,3300,0,3300
Aidan,Narasimhan,F,717,1000004,WHEATLAND,PA,16161,S,Y,4000,3.07,0,0,0
Zohel,Tonnesen,F,208,1000096,KING HILL,ID,83633,S,Y,21000,7.2322607,3300,0,3300
Renuka,Gras,F,225,1000022,COTTONPORT,LA,71327,M,N,76000,6.0,0,9000,0
Yuliang,Cimikowski,M,504,1000023,LAKE CHARLES,LA,70607,M,N,22000,5.04,0,9000,0
Tzilla,Anjur,F,402,1000056,OAKLAND,NE,68045,M,N,25000,6.5736103,0,206,0
Akichika,Walrath,M,719,1000017,LONE TREE,CO,80124,S,Y,40500,4.63,0,0,0
Wiliam,Shimohata,F,978,1000014,ROYALSTON,MA,1368,S,N,66000,5.3,3575,0,0
Bohuslav,Mitrou,M,603,1000105,WARREN,NH,3279,M,N,61500,0.0,0,0,0
Sofiene,Janusz,F,843,1000030,LONG CREEK,SC,29658,S,Y,28000,7.0,3300,0,3300
Hanhong,Ekenberg,M,907,1000100,EMMONAK,AK,99581,M,N,55500,0.0,0,0,0
Waiman,Vieweg,F,651,1000014,STRATHCONA,MN,56759,S,Y,42000,6.496745,3300,0,3300
Paulis,Flotzinger,F,641,1000027,MACEDONIA,IA,51549,M,N,29500,4.718243,0,80,0
Bongki,Schmerl,M,939,1000057,FLORIDA,PR,650,S,Y,81000,0.0,0,0,0
Tomaoo,Plumb,F,719,1000018,MESA,CO,81643,S,Y,23500,4.63,0,0,0
Juris,Llado,M,317,1000017,HUNTINGTON,IN,46750,S,Y,11000,3.4,1000,0,1000
Lunjin,Jacopini,M,813,1000006,GAINESVILLE,FL,32604,M,N,100000,0.0,0,0,0
Kate,Skwarecki,F,401,1000092,SAUNDERSTOWN,RI,2874,S,Y,38000,0.0,0,0,0
Reva,Graft,F,603,1000106,UNION,NH,3887,S,N,88000,0.0,0,0,0
Miao,Lorin,F,973,1000011,BELMAR,NJ,7719,M,Y,30000,1.5577083,0,2000,1500
Hilmar,Montelius,F,614,1000014,TOLEDO,OH,43617,S,Y,95500,3.716136,1300,0,1300
Shalab,Dusse,F,413,1000009,WAREHAM,MA,2571,M,N,94500,5.3,0,7150,0
Elfriede,Subbalakshmi,M,401,1000093,EAST GREENWICH,RI,2818,M,N,75000,0.0,0,0,0
Archita,Famili,M,339,1000005,HATFIELD,MA,1038,M,Y,73500,5.3,0,7150,1000
Jackson,Manjunath,F,302,1000139,YORKLYN,DE,19736,S,Y,84000,5.95,110,0,110
Surata,Guttler,M,939,1000058,SAN JUAN,PR,915,S,Y,87000,0.0,0,0,0
Guangyi,Krotopoulou,F,904,1000002,CAPE CORAL,FL,33910,M,N,39500,0.0,0,0,0
Szabolcs,Sendrier,F,980,1000021,VAUGHAN,NC,27586,S,Y,27500,6.3094406,3300,0,3300
Yutaka,Goto,M,208,1000097,HOPE,ID,83836,M,N,63000,7.8,0,6600,0
Edyta,Clemencon,M,410,1000038,BALTIMORE,MD,21223,S,Y,100000,4.75,2400,0,2400
Sylvia,Vijaykrishnan,F,817,1000005,VANCOURT,TX,76955,M,N,55500,0.0,0,0,0
Ioanis,Ring,M,203,1000043,BEACON FALLS,CT,6403,S,Y,44000,5.0,12750,0,0
Oukseh,Daul,M,862,1000005,NEWARK,NJ,7114,M,N,53000,1.9204376,0,2000,0
Elise,Serna,F,801,1000038,MAGNA,UT,84044,S,Y,51500,7.0,2475,0,2475
Yongwon,Yokomizo,M,859,1000022,FRANKFORT,KY,40601,S,Y,91000,6.0,20,0,20
Shamik,Heckmann,M,701,1000091,KENSAL,ND,58455,M,N,84500,2.7352552,0,6600,0
Guenther,Lipponen,M,602,1000014,MESA,AZ,85216,S,Y,17500,2.98625,2100,0,2300
Anish,Xiaowen,F,401,1000094,NORTH SMITHFIELD,RI,2896,M,N,31500,0.0,0,0,0
Yaniv,Artosi,F,504,1000024,JONESBORO,LA,71251,S,Y,27500,6.0,4500,0,1000
Eleanor,Scallan,F,406,1000110,FORT PECK,MT,59223,S,Y,48500,6.9,1900,0,1900
Nong,Yershov,M,208,1000098,FILER,ID,83328,M,N,42500,7.8,0,6600,0
Berna,Pendleton,M,580,1000033,SALLISAW,OK,74955,S,Y,15000,6.25,1000,0,1000
Zhiyuan,McArthur,F,775,1000035,RENO,NV,89513,S,Y,72500,0.0,0,0,0
Erika,Lynn,F,401,1000095,PROVIDENCE,RI,2918,S,Y,97000,0.0,0,0,0
Nelley,Jesty,M,603,1000107,CHICHESTER,NH,3258,S,Y,13000,0.0,0,0,0
Sugath,Uckun,M,848,1000004,NEWARK,NJ,7195,S,Y,54500,1.9440937,1000,0,1500
Reva,Graft,F,623,1000013,DEWEY,AZ,86327,S,Y,58500,3.6217499,2100,0,2300
Tsunehiko,Boudjlida,F,919,1000013,RALEIGH,NC,27697,M,N,3500,6.0,0,6600,0
Wiliam,Pasztor,F,802,1000095,RANDOLPH,VT,5060,M,N,24000,3.6,0,6600,0
Shelby,Pinheiro,M,720,1000031,NUCLA,CO,81424,M,Y,19000,4.63,0,0,0
Celena,Mundy,F,704,1000016,KINSTON,NC,28503,S,N,35000,6.466783,3300,0,0
JoAnne,Legay,M,651,1000015,HOLDINGFORD,MN,56340,S,Y,34500,6.0965314,3300,0,3300
Bent,Joobbani,F,206,1000013,MOCLIPS,WA,98562,M,N,83000,0.0,0,0,0
Farhad,Spirk,F,202,1000114,WASHINGTON,DC,20035,S,Y,65500,9.0,1370,0,1370
Pericles,Akaboshi,F,334,1000025,MONTGOMERY,AL,36106,M,N,90500,5.0,0,3000,0
Xian,Izumida,F,207,1000105,BANGOR,ME,4402,S,Y,18500,8.5,2850,0,2850
Amer,Kaminger,F,662,1000024,COLUMBUS,MS,39705,S,Y,6000,3.4,6000,0,1500
Alle,Livingston,M,302,1000140,BETHANY BEACH,DE,19930,M,N,51000,5.3363633,0,220,0
Ramakant,Zukowski,M,605,1000087,AURORA,SD,57002,M,N,4000,0.0,0,0,0
Maya,Geffroy,M,712,1000016,LAKE VIEW,IA,51450,M,N,94500,8.98,0,80,0
Hayri,Beounes,F,586,1000007,BRUTUS,MI,49716,S,Y,72500,3.9,3100,0,3100
Pawan,Alterman,F,802,1000096,SOUTH LONDONDERRY,VT,5155,S,Y,51000,4.0197945,3300,0,3300
Jarkko,Alves,M,704,1000017,ATLANTIC,NC,28511,S,Y,72000,7.2430067,3300,0,3300
Mehrdad,Sundaresh,M,803,1000040,TAYLORS,SC,29687,M,N,81000,7.0,0,6600,0
Noriyuki,Beznosov,F,541,1000026,PORTLAND,OR,97242,S,Y,22500,9.0,159,0,159
Aram,Doudou,M,732,1000009,RIVERTON,NJ,8077,M,N,39000,1.6996458,0,2000,0
Richards,Dussa,M,202,1000115,WASHINGTON,DC,20224,M,N,60500,9.0,0,2740,0
Djamila,Rosinski,F,425,1000023,MOXEE,WA,98936,S,Y,57500,0.0,0,0,0
Mihnea,Sinicrope,F,907,1000101,SKAGWAY,AK,99840,M,N,11500,0.0,0,0,0
Josyula,Hjrschheimi,F,347,1000002,BRAINARDSVILLE,NY,12915,S,Y,4500,4.0,0,0,1000
Cuie,Pollatschek,M,808,1000087,HONOLULU,HI,96820,S,Y,54500,8.25,1040,0,1040
Guoray,Leifert,F,701,1000092,MAPLETON,ND,58059,M,N,22000,2.1,0,6600,0
Danu,Yuguchi,M,405,1000040,SAYRE,OK,73662,S,Y,53500,6.25,1000,0,1000
Issam,Nagafuji,F,605,1000088,ROWENA,SD,57056,M,N,13500,0.0,0,0,0
Its'hak,Handzel,F,505,1000097,SANTA FE,NM,87503,S,Y,81500,5.3,3300,0,3300
Bilge,Massotte,M,406,1000111,WINNETT,MT,59087,S,Y,63500,6.9,1900,0,1900
Shouwen,Simao,M,208,1000099,NAPLES,ID,83847,M,N,35500,7.8,0,6600,0
Sailaja,Dresler,F,785,1000030,AGENDA,KS,66930,S,Y,18500,4.1883335,2250,0,2250
Penousal,Harllee,M,307,1000109,CARPENTER,WY,82054,S,Y,52500,0.0,0,0,0
Selim,Lafora,F,301,1000018,HAVRE DE GRACE,MD,21078,S,Y,61500,4.75,2400,0,2400
Tatsuro,Meyrowitz,M,904,1000003,PARRISH,FL,34219,S,Y,75500,0.0,0,0,0
Dainis,Klauser,F,815,1000015,MURDOCK,IL,61941,S,Y,20000,3.0,2000,0,2000
Jayasree,McNaught,M,662,1000025,BOGUE CHITTO,MS,39629,S,Y,93000,5.0,6000,0,1500
Donn,Botsch,M,701,1000093,HUNTER,ND,58048,S,N,30500,2.1092737,3300,0,0
Jacques,Konuma,M,615,1000007,TAZEWELL,TN,37879,M,Y,23000,0.0,0,0,0
Amparo,Gusat,F,914,1000005,TALLMAN,NY,10982,S,Y,24000,4.092683,0,0,1000
Fumiyasu,Baumert,M,848,1000005,PRINCETON,NJ,8543,M,N,69500,2.1806562,0,2000,0
Rudolph,Scharstein,M,862,1000006,PICATINNY ARSENAL,NJ,7806,S,Y,5500,1.4,1000,0,1500
Johan,Lundstrom,M,630,1000006,MC CONNELL,IL,61050,M,N,7000,3.0,0,4000,0
Nobuki,Kulisch,F,304,1000097,HUNTINGTON,WV,25722,S,Y,84500,6.5,2000,0,2000
Plamen,Hackl,F,303,1000026,MEAD,CO,80542,M,N,51500,4.63,0,0,0
Cal,Letelier,F,812,1000023,DELONG,IN,46922,S,Y,16000,3.4,1000,0,1000
Rame,Selberg,M,603,1000108,OSSIPEE,NH,3864,S,Y,72500,0.0,0,0,0
Sahin,Riguzzi,M,401,1000096,ADAMSVILLE,RI,2801,S,Y,95000,0.0,0,0,0
Kamar,Schicker,M,406,1000112,NEIHART,MT,59465,S,Y,18500,6.9,1900,0,1900
Sidd,Hofer,F,786,1000009,HOLLYWOOD,FL,33019,S,Y,7000,0.0,0,0,0
Brenan,Eustace,M,856,1000017,NORMANDY BEACH,NJ,8739,M,Y,49500,1.8652396,0,2000,1500
Kamar,Goodburn,M,203,1000044,NEW HAVEN,CT,6538,M,N,33500,5.0,0,24500,0
Maurita,Gruenberg,M,208,1000100,BOISE,ID,83756,S,Y,58500,7.8,3300,0,3300
Chandrasekhar,Prior,M,202,1000116,WASHINGTON,DC,20510,S,N,49500,9.0,1370,0,0
Uri,Guerriero,F,615,1000008,NORENE,TN,37136,S,Y,26000,0.0,0,0,0
Jaeho,Mournier,F,330,1000015,AUSTINBURG,OH,44010,M,N,47500,2.1227822,0,2600,0
Kaninda,Haemer,M,907,1000102,NOME,AK,99762,S,Y,49000,0.0,0,0,0
Vittal,Azumi,M,207,1000106,LAMBERT LAKE,ME,4454,M,N,14500,6.720803,0,5700,0
Jie,Beilner,F,551,1000017,EMERSON,NJ,7630,S,Y,39500,1.7075312,1000,0,1500
Byunggyu,Boissier,F,610,1000011,ARDMORE,PA,19003,S,Y,62000,3.07,0,0,0
Changgui,Yaku,F,402,1000057,TABLE ROCK,NE,68447,S,Y,66500,6.84,103,0,103
Bohuslav,Mitrou,M,701,1000094,STREETER,ND,58483,S,Y,87000,2.7642357,3300,0,3300
Dongsu,Bergen,M,308,1000051,ELK CREEK,NE,68348,S,Y,21500,5.952033,103,0,103
Yildiray,Sigal,F,434,1000015,OAK HALL,VA,23396,M,N,5000,2.5357144,0,1800,0
Hiromitsu,Heinen,F,970,1000032,DEL NORTE,CO,81132,M,N,70000,4.63,0,0,0
Xaver,Legato,M,301,1000019,ROHRERSVILLE,MD,21779,M,N,21500,4.75,0,4800,0
Liviu,Pelayo,F,276,1000011,VIRGINIA BEACH,VA,23457,M,N,21500,5.75,0,1800,0
Sunghyun,Schiff,F,501,1000033,CRAWFORDSVILLE,AR,72327,M,N,64000,7.0,0,40,0
Stanislaw,Chandramouli,F,308,1000052,PLATTE CENTER,NE,68653,M,N,68000,6.84,0,206,0
Yanchun,Sidebottom,F,615,1000009,GREENBACK,TN,37742,M,N,31500,0.0,0,0,0
Zhixi,Schill,M,878,1000007,QUINCY,PA,17247,S,Y,24000,3.07,0,0,0
Mustafa,Devos,M,801,1000039,TEASDALE,UT,84773,M,N,86000,7.0,0,4950,0
Funda,Scherberger,M,980,1000022,RAEFORD,NC,28376,S,Y,62000,7.0332165,3300,0,3300
Christoph,Bocic,M,718,1000006,VARYSBURG,NY,14167,M,N,10500,4.0144815,0,0,0
Chabane,Lovelady,F,505,1000098,FAYWOOD,NM,88034,M,N,89000,5.3,0,6600,0
Jordan,Karn,F,551,1000018,WEST BERLIN,NJ,8091,M,N,20500,1.4078854,0,2000,0
Oswin,Calude,F,540,1000018,MECHANICSVILLE,VA,23116,M,N,48000,5.75,0,1800,0
Zahir,Lucks,M,912,1000010,TALMO,GA,30575,S,Y,54000,6.0,2700,0,3000
Toomas,Nuth,F,701,1000095,GOLDEN VALLEY,ND,58541,S,Y,76500,2.642517,3300,0,3300
Rushed,Dekeyser,M,240,1000023,ELKTON,MD,21922,M,N,32000,4.75,0,4800,0
Panduranga,Lassagne,F,801,1000040,KOOSHAREM,UT,84744,M,N,48500,7.0,0,4950,0
Deepika,Koubarakis,F,404,1000012,SUMMERVILLE,GA,30747,M,N,99000,6.0,0,5400,0
Parameswaran,Aucsmith,M,307,1000110,ROCK SPRINGS,WY,82901,M,N,74000,0.0,0,0,0
Paloma,Lisonek,M,660,1000026,JOPLIN,MO,64802,S,N,83000,6.0,2100,0,0
Kapetanakis,Rabejac,M,208,1000101,FORT HALL,ID,83203,M,N,2000,1.8387345,0,6600,0
Karel,Bruni,M,207,1000107,MATTAWAMKEAG,ME,4459,S,Y,16500,7.6697083,2850,0,2850
Jayasree,Nadrchal,M,740,1000007,WARSAW,OH,43844,S,Y,11000,0.91116923,1300,0,1300
Beshir,Shiran,M,701,1000096,FARGO,ND,58104,M,N,31000,2.1150699,0,6600,0
Sherman,Zislis,M,601,1000033,JONESTOWN,MS,38639,M,N,31000,5.0,0,12000,0
Terilyn,Jankowitz,F,808,1000088,OOKALA,HI,96774,M,N,73500,8.25,0,2080,0
Tiejun,Dunlop,F,207,1000108,CAPE ELIZABETH,ME,4107,S,Y,68500,8.5,2850,0,2850
Serge,Haznedar,F,939,1000059,LARES,PR,669,M,N,65000,0.0,0,0,0
Yuksel,Franaszczuk,M,402,1000058,AYR,NE,68925,M,N,16000,4.97527,0,206,0
Boleslaw,Tolga,M,308,1000053,EAGLE,NE,68347,S,Y,41000,6.84,103,0,103
Nandyala,Groeneboer,M,939,1000060,SAN JUAN,PR,907,M,N,36000,0.0,0,0,0
Nahla,Tsiligaridis,M,308,1000054,AVOCA,NE,68307,S,Y,92000,6.84,103,0,103
Zinovy,Hatsagi,F,901,1000013,MIDWAY,TN,37809,S,Y,58000,0.0,0,0,0
Naoya,Klaschka,F,769,1000032,MERIDIAN,MS,39309,M,N,99000,5.0,0,12000,0
Kiamal,Mangaser,F,406,1000113,TEIGEN,MT,59084,S,Y,20500,6.9,1900,0,1900
Tohru,Skala,F,302,1000141,LITTLE CREEK,DE,19961,S,Y,46500,5.0295453,110,0,110
Ahmet,Fraichard,F,541,1000027,PORTLAND,OR,97280,S,Y,37000,9.0,159,0,159
Evelyne,Zaroliagis,F,401,1000097,SAUNDERSTOWN,RI,2874,M,N,76500,0.0,0,0,0
Ysolde,Koldinger,M,316,1000018,GRANTVILLE,KS,66429,M,Y,78000,6.45,0,4500,2250
Sigal,Collette,M,256,1000022,EDWARDSVILLE,AL,36261,S,Y,29500,5.0,1500,0,300
Kwang,Uppaluru,M,952,1000021,NORTH BRANCH,MN,55056,S,N,45500,6.683511,3300,0,0
Mara,Start,M,253,1000016,VALLEY,WA,99181,M,N,11500,0.0,0,0,0
Dionysis,Cerone,M,603,1000109,STINSON LAKE,NH,3274,S,Y,85000,0.0,0,0,0
Lhouari,Padubidri,F,206,1000014,BURLEY,WA,98322,S,Y,27000,0.0,0,0,0
Goutam,Yano,F,919,1000014,MOUNT PLEASANT,NC,28124,S,Y,99500,7.81993,3300,0,3300
Dhruva,Atluri,M,605,1000089,BRITTON,SD,57430,M,N,91500,0.0,0,0,0
Yufeng,Imataki,M,414,1000018,RACINE,WI,53408,M,N,18000,4.759156,0,1400,0
Chokchai,Mungall,M,203,1000045,HARTFORD,CT,6151,S,Y,64000,5.0,12750,0,0
Sarmad,Spenke,F,443,1000021,LEONARDTOWN,MD,20650,S,Y,61500,4.75,2400,0,2400
Kai,Huchard,F,605,1000090,MISSION,SD,57555,M,N,3000,0.0,0,0,0
Dunren,Soloway,M,307,1000111,BAIROIL,WY,82322,S,Y,5500,0.0,0,0,0
Pranava,Inamura,F,567,1000008,EAST ROCHESTER,OH,44625,S,Y,66000,2.7368875,1300,0,1300
Ira,Cesareni,F,573,1000013,LA MONTE,MO,65337,M,N,65000,6.0,0,4200,0
Emmett,Assaf,F,605,1000091,JEFFERSON,SD,57038,M,N,47500,0.0,0,0,0
Luigi,Kulasinghe,F,202,1000117,WASHINGTON,DC,20015,S,Y,70500,9.0,1370,0,1370
Knud,Meszyk,M,939,1000061,CAYEY,PR,736,S,Y,55000,0.0,0,0,0
Hannah,Bouaziz,F,505,1000099,SANTA FE,NM,87502,S,Y,80500,5.3,3300,0,3300
Bodh,Cannan,M,769,1000033,VAUGHAN,MS,39179,S,Y,22500,5.0,6000,0,1500
Meilir,Taniar,F,304,1000098,COAL CITY,WV,25823,M,N,22500,3.875,0,4000,0
Yeona,Tzannes,F,501,1000034,RATCLIFF,AR,72951,M,N,90500,7.0,0,40,0
Katsuhiro,Masini,M,308,1000055,HALLAM,NE,68368,M,N,88500,6.84,0,206,0
Masadi,Kerntopf,F,307,1000112,HUNTLEY,WY,82218,M,N,76500,0.0,0,0,0
Mannes,Zadeh,M,401,1000098,PAWTUCKET,RI,2860,M,N,10000,0.0,0,0,0
Anatol,Driscoll,M,712,1000017,GRAFTON,IA,50440,S,Y,75000,8.98,40,0,40
Mazen,Pennings,M,857,1000014,HOPEDALE,MA,1747,S,Y,94000,5.3,3575,0,1000
Liana,Luit,F,405,1000041,MOFFETT,OK,74946,S,N,89500,6.25,1000,0,0
Raja,Rijckaert,F,563,1000021,WATERLOO,IA,50704,S,Y,54000,8.500502,40,0,40
Aida,Nishizaki,F,775,1000036,LAS VEGAS,NV,89173,S,Y,12000,0.0,0,0,0
Rieks,Lakshmipathy,M,631,1000009,MARIETTA,NY,13110,S,Y,20500,4.0724087,0,0,1000
Tomokazu,Gutman,M,803,1000041,LATTA,SC,29565,M,N,98500,7.0,0,6600,0
Elzbieta,Obradovich,M,847,1000012,CHICAGO,IL,60614,S,Y,78000,3.0,2000,0,2000
Xiaolang,Kinoshita,M,908,1000010,NEW BRUNSWICK,NJ,8906,M,Y,33500,1.6129062,0,2000,1500
Zavid,Vastola,M,206,1000015,KINGSTON,WA,98346,S,Y,24500,0.0,0,0,0
Kengo,Brakmo,F,769,1000034,TOCCOPOLA,MS,38874,M,N,57000,5.0,0,12000,0
Arturo,Landy,F,361,1000008,PARIS,TX,75462,M,N,41500,0.0,0,0,0
Meilir,Babaguchi,F,802,1000097,DANVILLE,VT,5828,S,Y,19000,3.6,3300,0,3300
Ward,Noerr,F,913,1000019,ERIE,KS,66733,M,N,35000,6.45,0,4500,0
Mert,Haack,M,774,1000012,AMHERST,MA,1004,M,N,86500,5.3,0,7150,0
Simeon,Jungmann,M,541,1000028,PRINEVILLE,OR,97754,M,N,40500,9.0,0,318,0
Dingchao,Dumas,M,603,1000110,JACKSON,NH,3846,S,Y,80500,0.0,0,0,0
Atreye,Schober,M,361,1000009,HOUSTON,TX,77043,S,Y,14000,0.0,0,0,0
Amber,Lebah,M,509,1000018,HUNTERS,WA,99137,M,N,78000,0.0,0,0,0
Peeter,Urpi,M,763,1000009,WARREN,MN,56762,M,N,95500,7.85,0,6600,0
